Year,USFORDIRINV,JAPFORDIRINV,GERFORDIRINV
1970,5270000000,,
1971,4850000000,,96932868
1972,6060000000,,-92717508
1973,7410000000,,-138757334
1974,1620000000,,-54769412
1975,11420000000,,1490736257
1976,8410000000,,1287619730
1977,8360000000,,1457079065
1978,8870000000,,2336498531
1979,16670000000,,3282971189
1980,2300000000,,4347667647
1981,-15570000000,,4182452428
1982,-13456000000,,2259195166
1983,-2730000000,,1945566942
1984,-12410000000,,4135994597
1985,-5950000000,,4964708241
1986,-11422000000,,8205604897
1987,-23438000000,,6640908620
1988,-35209000000,,13468590800
1989,-24800000000,,8162668023
1990,-11290000000,,21480192635
1991,14720000000,,18554684780
1992,28460000000,,21230560030
1993,32570000000,,17161604970
1994,34050000000,,12338680053
1995,40980000000,,27779643541
1996,5360000000,26440694397,44975759355
1997,-770000000,21500257091,30890962868
1998,-36390000000,17293070283,67478178460
1999,-64964000000,9481358284,53364279143
2000,-1.62755E+11,34339324666,-1.49835E+11
2001,-26455000000,30734354196,13294434783
2002,67930000000,19344378431,-34067396991
2003,78112000000,25693039712,-26100676287
2004,1.60363E+11,33085785004,29478097771
2005,-89753000000,46205395350,29088956904
2006,-14662000000,60549386567,60529918995
2007,1.77277E+11,51358484681,89805058432
2008,2491000000,89018788218,67071495031
2009,1.51514E+11,61450645281,43037329587
2010,85789000000,72215534552,60605522285
2011,1.73119E+11,1.17686E+11,10373148758
2012,1.26895E+11,1.17085E+11,33639173474
2013,1.04665E+11,1.45036E+11,26093621455
2014,1.35673E+11,1.18172E+11,88131616218
2015,-2.09363E+11,1.33163E+11,56842205698
2016,-1.74573E+11,1.37656E+11,58421887790
2017,28590000000,1.54948E+11,40199657620
2018,-3.45435E+11,1.34929E+11,50675924607
2019,-2.01057E+11,2.18324E+11,95880604151
2020,1.45265E+11,87533471953,-31910918321
2021,-1.33851E+11,1.74665E+11,96711985272
2022,-20472000000,1.26857E+11,1.17097E+11
2023,1.053E+11,1.62086E+11,72407214132
