Year,United States,Japan,Germany
1960,2999.864872,508.7027793,1162.122668
1961,3059.160821,608.8645811,1315.907878
1962,3236.013112,684.5655098,1430.520955
1963,3366.36979,775.5921231,1502.154529
1964,3565.31443,902.8677215,1637.455228
1965,3818.288251,993.7327222,1774.19869
1966,4136.308296,1143.607897,1870.805403
1967,4325.959351,1326.361039,1885.615966
1968,4684.588403,1553.271394,2025.081595
1969,5019.998186,1802.980281,2281.275982
1970,5234.296666,2100.74807,2771.283105
1971,5609.3826,2321.390925,3203.828848
1972,6094.01799,3031.438606,3823.940326
1973,6726.358956,4061.01339,5065.245233
1974,7225.69136,4448.319656,5659.737878
1975,7801.456664,4775.899536,6259.207445
1976,8592.253537,5310.431409,6659.165466
1977,9452.576519,6472.787787,7711.10232
1978,10564.94822,9012.136035,9516.782832
1979,11674.18187,9301.14831,11322.35434
1980,12574.79151,9668.746264,12182.78002
1981,13976.10539,10583.12789,10246.47676
1982,14433.78773,9779.974906,9950.05926
1983,15543.89372,10652.01472,9900.485592
1984,17121.22548,11207.45235,9347.290684
1985,18236.82773,11809.46035,9464.116947
1986,19071.22719,17451.83494,13511.152
1987,20038.9411,21141.7184,16738.61328
1988,21417.01193,25499.88117,17996.97835
1989,22857.15443,25265.94876,17829.46095
1990,23888.60001,25801.39504,22385.67783
1991,24342.2589,29428.4289,23443.33508
1992,25418.99078,31992.79021,26559.85439
1993,26387.29373,36345.24413,25616.65088
1994,27694.85342,39933.51506,27201.95936
1995,28690.8757,44197.6191,31747.24494
1996,29967.71272,39150.03963,30599.7891
1997,31459.12997,35638.23196,27046.95655
1998,32853.67259,32423.75561,27395.94406
1999,34515.38131,36610.16832,26965.49228
2000,36329.97026,39169.35957,23925.85599
2001,37133.6204,34406.18246,23878.36415
2002,37997.74243,32820.79364,25486.5942
2003,39490.30239,35387.03742,30711.10225
2004,41724.6412,38298.98017,34566.73591
2005,44123.39965,37812.89502,35084.43635
2006,46301.98765,35991.546,36980.33499
2007,48050.22741,35779.02454,42350.92172
2008,48570.05943,39876.30397,46386.32959
2009,47194.95009,41308.99684,42487.21371
2010,48650.66432,44968.15623,42409.9357
2011,50065.97895,48760.07895,47646.58204
2012,51784.41147,49145.28043,44735.58823
2013,53409.75078,40898.6479,47220.01021
2014,55304.31553,38475.39525,48971.08247
2015,57040.20821,34960.63938,41911.01099
2016,58206.61419,39375.47316,42961.03569
2017,60322.26142,38834.05293,45526.59996
2018,63201.04585,39751.1331,48874.8595
2019,65604.68152,40415.95676,47623.86561
2020,64411.37318,40040.76551,47379.76519
2021,71318.30736,40058.53733,52265.65416
2022,78035.17536,34017.27181,49686.11546
2023,82769.41221,33766.52683,54343.22651
